,film_id,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,special_features,fulltext,category_name,amount,name,actors
210,225,Destination Jerk,A Beautiful Yarn of a Teacher And a Cat who must Build a Car in A U-Boat,2006,1,3,0.99,76,19.99,PG-13,"['Trailers', 'Commentaries', 'Behind the Scenes']",'beauti':4 'boat':21 'build':14 'car':16 'cat':11 'destin':1 'jerk':2 'must':13 'teacher':8 'u':20 'u-boat':19 'yarn':5,Drama,31.92,English             ,"Grace Mostel, Rip Crawford, Cameron Wray"
211,226,Destiny Saturday,A Touching Drama of a Crocodile And a Crocodile who must Conquer a Explorer in Soviet Georgia,2006,1,4,4.99,56,20.99,G,"['Trailers', 'Commentaries', 'Behind the Scenes']","'conquer':14 'crocodil':8,11 'destini':1 'drama':5 'explor':16 'georgia':19 'must':13 'saturday':2 'soviet':18 'touch':4",New,91.85000000000001,English             ,"Nick Wahlberg, Sandra Kilmer, Kevin Bloom, Alec Wayne, Dan Harris, Mary Tandy, Emily Dee"
212,227,Details Packer,A Epic Saga of a Waitress And a Composer who must Face a Boat in A U-Boat,2006,1,4,4.99,88,17.99,R,"['Commentaries', 'Deleted Scenes']","'boat':16,21 'compos':11 'detail':1 'epic':4 'face':14 'must':13 'packer':2 'saga':5 'u':20 'u-boat':19 'waitress':8",Games,128.82,English             ,"Michelle Mcconaughey, Salma Nolte"
213,228,Detective Vision,A Fanciful Documentary of a Pioneer And a Woman who must Redeem a Hunter in Ancient Japan,2006,1,4,0.99,143,16.99,PG-13,"['Trailers', 'Commentaries', 'Behind the Scenes']",'ancient':18 'detect':1 'documentari':5 'fanci':4 'hunter':16 'japan':19 'must':13 'pioneer':8 'redeem':14 'vision':2 'woman':11,Classics,62.760000000000005,English             ,"Kenneth Torn, Angela Witherspoon, Julia Zellweger"
214,229,Devil Desire,A Beautiful Reflection of a Monkey And a Dentist who must Face a Database Administrator in Ancient Japan,2006,1,6,4.99,87,12.99,R,"['Trailers', 'Behind the Scenes']",'administr':17 'ancient':19 'beauti':4 'databas':16 'dentist':11 'desir':2 'devil':1 'face':14 'japan':20 'monkey':8 'must':13 'reflect':5,Action,78.86,English             ,"Mary Tandy, Kirsten Akroyd, Groucho Dunst, Ed Mansfield, Ewan Gooding"
215,230,Diary Panic,A Thoughtful Character Study of a Frisbee And a Mad Cow who must Outgun a Man in Ancient India,2006,1,7,2.99,107,20.99,G,"['Commentaries', 'Behind the Scenes']",'ancient':20 'charact':5 'cow':13 'diari':1 'frisbe':9 'india':21 'mad':12 'man':18 'must':15 'outgun':16 'panic':2 'studi':6 'thought':4,Drama,24.92,English             ,"Jodie Degeneres, Mary Tandy, Mae Hoffman, Daryl Crawford"
216,231,Dinosaur Secretary,A Action-Packed Drama of a Feminist And a Girl who must Reach a Robot in The Canadian Rockies,2006,1,7,2.99,63,27.99,R,"['Trailers', 'Behind the Scenes']",'action':5 'action-pack':4 'canadian':21 'dinosaur':1 'drama':7 'feminist':10 'girl':13 'must':15 'pack':6 'reach':16 'robot':18 'rocki':22 'secretari':2,Family,67.81,English             ,"Lucille Tracy, Burt Dukakis, Jayne Neeson, Russell Bacall, Penelope Monroe, Minnie Kilmer"
217,232,Dirty Ace,A Action-Packed Character Study of a Forensic Psychologist And a Girl who must Build a Dentist in The Outback,2006,1,7,2.99,147,29.99,NC-17,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",'ace':2 'action':5 'action-pack':4 'build':18 'charact':7 'dentist':20 'dirti':1 'forens':11 'girl':15 'must':17 'outback':23 'pack':6 'psychologist':12 'studi':8,Games,47.870000000000005,English             ,"Vivien Bergen, Scarlett Damon, River Dean, Geoffrey Heston, Meryl Allen"
218,233,Disciple Mother,A Touching Reflection of a Mad Scientist And a Boat who must Face a Moose in A Shark Tank,2006,1,3,0.99,141,17.99,PG,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",'boat':12 'discipl':1 'face':15 'mad':8 'moos':17 'mother':2 'must':14 'reflect':5 'scientist':9 'shark':20 'tank':21 'touch':4,Travel,39.82,English             ,"Johnny Cage, Julia Barrymore, Adam Grant, Penelope Cronyn, Ewan Gooding, Jayne Nolte, Matthew Carrey"
219,234,Disturbing Scarface,A Lacklusture Display of a Crocodile And a Butler who must Overcome a Monkey in A U-Boat,2006,1,6,2.99,94,27.99,R,"['Trailers', 'Behind the Scenes']",'boat':21 'butler':11 'crocodil':8 'display':5 'disturb':1 'lacklustur':4 'monkey':16 'must':13 'overcom':14 'scarfac':2 'u':20 'u-boat':19,Sci-Fi,77.77000000000001,English             ,"Angelina Astaire, Kenneth Pesci, Julianne Dench, Audrey Bailey"
220,235,Divide Monster,A Intrepid Saga of a Man And a Forensic Psychologist who must Reach a Squirrel in A Monastery,2006,1,6,2.99,68,13.99,PG-13,"['Trailers', 'Commentaries']",'divid':1 'forens':11 'intrepid':4 'man':8 'monasteri':20 'monster':2 'must':14 'psychologist':12 'reach':15 'saga':5 'squirrel':17,Sci-Fi,61.800000000000004,English             ,"Sandra Kilmer, Christian Akroyd, Henry Berry, Christian Neeson, Alan Dreyfuss, Gene Mckellen"
221,236,Divine Resurrection,A Boring Character Study of a Man And a Womanizer who must Succumb a Teacher in An Abandoned Amusement Park,2006,1,4,2.99,100,19.99,R,"['Trailers', 'Commentaries']",'abandon':20 'amus':21 'bore':4 'charact':5 'divin':1 'man':9 'must':14 'park':22 'resurrect':2 'studi':6 'succumb':15 'teacher':17 'woman':12,Games,64.85000000000001,English             ,"Christian Gable, Cuba Olivier, Helen Voight, Dan Harris, Kenneth Paltrow"
222,237,Divorce Shining,A Unbelieveable Saga of a Crocodile And a Student who must Discover a Cat in Ancient India,2006,1,3,2.99,47,21.99,G,"['Trailers', 'Commentaries', 'Deleted Scenes']",'ancient':18 'cat':16 'crocodil':8 'discov':14 'divorc':1 'india':19 'must':13 'saga':5 'shine':2 'student':11 'unbeliev':4,Sports,21.950000000000003,English             ,"Christian Neeson, Sean Williams, Morgan Mcdormand, Will Wilson, Gene Mckellen, Julia Zellweger"
223,238,Doctor Grail,A Insightful Drama of a Womanizer And a Waitress who must Reach a Forensic Psychologist in The Outback,2006,1,4,2.99,57,29.99,G,"['Trailers', 'Commentaries', 'Behind the Scenes']",'doctor':1 'drama':5 'forens':16 'grail':2 'insight':4 'must':13 'outback':20 'psychologist':17 'reach':14 'waitress':11 'woman':8,Children,23.950000000000003,English             ,"James Pitt, Penelope Monroe, Salma Nolte, Albert Nolte, Cate Mcqueen, Jon Chase"
224,239,Dogma Family,A Brilliant Character Study of a Database Administrator And a Monkey who must Succumb a Astronaut in New Orleans,2006,1,5,4.99,122,16.99,G,['Commentaries'],'administr':10 'astronaut':18 'brilliant':4 'charact':5 'databas':9 'dogma':1 'famili':2 'monkey':13 'must':15 'new':20 'orlean':21 'studi':6 'succumb':16,Animation,168.72,English             ,"Kirk Jovovich, Henry Berry, Groucho Sinatra, Sidney Crowe, Gina Degeneres, River Dean, Christopher West"
225,240,Dolls Rage,A Thrilling Display of a Pioneer And a Frisbee who must Escape a Teacher in The Outback,2006,1,7,2.99,120,10.99,PG-13,"['Commentaries', 'Deleted Scenes']",'display':5 'doll':1 'escap':14 'frisbe':11 'must':13 'outback':19 'pioneer':8 'rage':2 'teacher':16 'thrill':4,Sci-Fi,27.92,English             ,Cary Mcconaughey
226,241,Donnie Alley,A Awe-Inspiring Tale of a Butler And a Frisbee who must Vanquish a Teacher in Ancient Japan,2006,1,4,0.99,125,20.99,NC-17,"['Trailers', 'Commentaries', 'Behind the Scenes']",'alley':2 'ancient':20 'awe':5 'awe-inspir':4 'butler':10 'donni':1 'frisbe':13 'inspir':6 'japan':21 'must':15 'tale':7 'teacher':18 'vanquish':16,Animation,34.870000000000005,English             ,"Vivien Bergen, Rip Crawford, Tom Mckellen, Dustin Tautou, Groucho Dunst, Vivien Basinger, Will Wilson"
227,242,Doom Dancing,A Astounding Panorama of a Car And a Mad Scientist who must Battle a Lumberjack in A MySQL Convention,2006,1,4,0.99,68,13.99,R,"['Trailers', 'Commentaries']",'astound':4 'battl':15 'car':8 'convent':21 'danc':2 'doom':1 'lumberjack':17 'mad':11 'must':14 'mysql':20 'panorama':5 'scientist':12,Comedy,58.830000000000005,English             ,"Cameron Streep, Nick Stallone, Christian Akroyd, Jessica Bailey, Mae Hoffman, Woody Jolie, Warren Nolte, Chris Depp"
228,243,Doors President,A Awe-Inspiring Display of a Squirrel And a Woman who must Overcome a Boy in The Gulf of Mexico,2006,1,3,4.99,49,22.99,NC-17,"['Trailers', 'Commentaries', 'Deleted Scenes', 'Behind the Scenes']",'awe':5 'awe-inspir':4 'boy':18 'display':7 'door':1 'gulf':21 'inspir':6 'mexico':23 'must':15 'overcom':16 'presid':2 'squirrel':10 'woman':13,Animation,118.82000000000001,English             ,"Karl Berry, Lucille Tracy, Natalie Hopkins, Christian Akroyd, Sylvester Dern, Gene Hopkins, Ed Mansfield, Kim Allen, Reese West"
229,244,Dorado Notting,A Action-Packed Tale of a Sumo Wrestler And a A Shark who must Meet a Frisbee in California,2006,1,5,4.99,139,26.99,NC-17,['Commentaries'],'action':5 'action-pack':4 'california':22 'dorado':1 'frisbe':20 'meet':18 'must':17 'not':2 'pack':6 'shark':15 'sumo':10 'tale':7 'wrestler':11,Music,140.78,English             ,"Audrey Olivier, Jessica Bailey, Gene Willis, Fay Wood"
230,245,Double Wrath,A Thoughtful Yarn of a Womanizer And a Dog who must Challenge a Madman in The Gulf of Mexico,2006,1,4,0.99,177,28.99,R,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",'challeng':14 'dog':11 'doubl':1 'gulf':19 'madman':16 'mexico':21 'must':13 'thought':4 'woman':8 'wrath':2 'yarn':5,Animation,56.79,English             ,"Kevin Bloom, Burt Dukakis, Frances Day-Lewis, Gary Penn, Cary Mcconaughey, Daryl Wahlberg, Harrison Bale, Julianne Dench"
231,246,Doubtfire Labyrinth,A Intrepid Panorama of a Butler And a Composer who must Meet a Mad Cow in The Sahara Desert,2006,1,5,4.99,154,16.99,R,"['Deleted Scenes', 'Behind the Scenes']",'butler':8 'compos':11 'cow':17 'desert':21 'doubtfir':1 'intrepid':4 'labyrinth':2 'mad':16 'meet':14 'must':13 'panorama':5 'sahara':20,Foreign,52.910000000000004,English             ,"Harrison Bale, Renee Tracy, Julianne Dench, Scarlett Bening, Kenneth Hoffman"
232,247,Downhill Enough,A Emotional Tale of a Pastry Chef And a Forensic Psychologist who must Succumb a Monkey in The Sahara Desert,2006,1,3,0.99,47,19.99,G,"['Trailers', 'Commentaries', 'Deleted Scenes']",'chef':9 'desert':22 'downhil':1 'emot':4 'enough':2 'forens':12 'monkey':18 'must':15 'pastri':8 'psychologist':13 'sahara':21 'succumb':16 'tale':5,Comedy,72.79,English             ,"Woody Jolie, Ben Willis, Daryl Crawford, Harvey Hope"
233,248,Dozen Lion,A Taut Drama of a Cat And a Girl who must Defeat a Frisbee in The Canadian Rockies,2006,1,6,4.99,177,20.99,NC-17,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",'canadian':19 'cat':8 'defeat':14 'dozen':1 'drama':5 'frisbe':16 'girl':11 'lion':2 'must':13 'rocki':20 'taut':4,Documentary,31.94,English             ,"Natalie Hopkins, Cameron Wray, Jada Ryder, Ben Harris, Laura Brody, Kenneth Hoffman"
234,249,Dracula Crystal,A Thrilling Reflection of a Feminist And a Cat who must Find a Frisbee in An Abandoned Fun House,2006,1,7,0.99,176,26.99,G,['Commentaries'],'abandon':19 'cat':11 'crystal':2 'dracula':1 'feminist':8 'find':14 'frisbe':16 'fun':20 'hous':21 'must':13 'reflect':5 'thrill':4,Classics,22.81,English             ,"Nick Wahlberg, Jodie Degeneres, Carmen Hunt, Cameron Wray, Michelle Mcconaughey, Sean Williams, Ben Willis, Greg Chaplin, Morgan Hopkins, Daryl Crawford, Morgan Williams, Ian Tandy, Reese West"
235,250,Dragon Squad,A Taut Reflection of a Boy And a Waitress who must Outgun a Teacher in Ancient China,2006,1,4,0.99,170,26.99,NC-17,"['Deleted Scenes', 'Behind the Scenes']",'ancient':18 'boy':8 'china':19 'dragon':1 'must':13 'outgun':14 'reflect':5 'squad':2 'taut':4 'teacher':16 'waitress':11,Action,27.89,English             ,"Anne Cronyn, Spencer Peck, Jim Mostel, Spencer Depp, Susan Davis, Albert Nolte, Gene Hopkins, Ed Guiness"
236,251,Dragonfly Strangers,A Boring Documentary of a Pioneer And a Man who must Vanquish a Man in Nigeria,2006,1,6,4.99,133,19.99,NC-17,"['Trailers', 'Behind the Scenes']","'bore':4 'documentari':5 'dragonfli':1 'man':11,16 'must':13 'nigeria':18 'pioneer':8 'stranger':2 'vanquish':14",New,80.86,English             ,"Christian Gable, Angelina Astaire, Fay Winslet"
237,252,Dream Pickup,A Epic Display of a Car And a Composer who must Overcome a Forensic Psychologist in The Gulf of Mexico,2006,1,6,2.99,135,18.99,PG,"['Trailers', 'Commentaries', 'Behind the Scenes']",'car':8 'compos':11 'display':5 'dream':1 'epic':4 'forens':16 'gulf':20 'mexico':22 'must':13 'overcom':14 'pickup':2 'psychologist':17,Action,73.80000000000001,English             ,"Milla Peck, Jodie Degeneres, Humphrey Willis, Jon Chase"
238,253,Drifter Commandments,A Epic Reflection of a Womanizer And a Squirrel who must Discover a Husband in A Jet Boat,2006,1,5,4.99,61,18.99,PG-13,"['Trailers', 'Behind the Scenes']",'boat':20 'command':2 'discov':14 'drifter':1 'epic':4 'husband':16 'jet':19 'must':13 'reflect':5 'squirrel':11 'woman':8,Action,131.78,English             ,"Vivien Bergen, Kirsten Paltrow, Val Bolger, Henry Berry, Spencer Peck, Al Garland, Audrey Bailey"
239,254,Driver Annie,A Lacklusture Character Study of a Butler And a Car who must Redeem a Boat in An Abandoned Fun House,2006,1,4,2.99,159,11.99,PG-13,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",'abandon':20 'anni':2 'boat':17 'butler':9 'car':12 'charact':5 'driver':1 'fun':21 'hous':22 'lacklustur':4 'must':14 'redeem':15 'studi':6,Sports,62.84,English             ,"Uma Wood, Sandra Kilmer, Parker Goldberg, Christian Akroyd, Charlize Dench, Morgan Mcdormand, Morgan Williams, Fay Winslet"
240,255,Driving Polish,A Action-Packed Yarn of a Feminist And a Technical Writer who must Sink a Boat in An Abandoned Mine Shaft,2006,1,6,4.99,175,21.99,NC-17,"['Trailers', 'Deleted Scenes']",'abandon':22 'action':5 'action-pack':4 'boat':19 'drive':1 'feminist':10 'mine':23 'must':16 'pack':6 'polish':2 'shaft':24 'sink':17 'technic':13 'writer':14 'yarn':7,Music,105.81,English             ,"Matthew Johansson, Vivien Bergen, Rip Winslet, Susan Davis, Penelope Monroe, Nick Degeneres, Will Wilson"
241,256,Drop Waterfront,A Fanciful Documentary of a Husband And a Explorer who must Reach a Madman in Ancient China,2006,1,6,4.99,178,20.99,R,"['Trailers', 'Commentaries']",'ancient':18 'china':19 'documentari':5 'drop':1 'explor':11 'fanci':4 'husband':8 'madman':16 'must':13 'reach':14 'waterfront':2,Sports,43.92,English             ,"Bette Nicholson, Cameron Streep, Judy Dean, Mena Temple, Jessica Bailey, Meg Hawke, Frances Tomei, Ed Mansfield"
242,258,Drums Dynamite,A Epic Display of a Crocodile And a Crocodile who must Confront a Dog in An Abandoned Amusement Park,2006,1,6,0.99,96,11.99,PG,['Trailers'],"'abandon':19 'amus':20 'confront':14 'crocodil':8,11 'display':5 'dog':16 'drum':1 'dynamit':2 'epic':4 'must':13 'park':21",Horror,24.87,English             ,"Vivien Bergen, Jude Cruise, Morgan Hopkins, Lucille Dee, Whoopi Hurt, Jeff Silverstone, Reese West"
243,259,Duck Racer,A Lacklusture Yarn of a Teacher And a Squirrel who must Overcome a Dog in A Shark Tank,2006,1,4,2.99,116,15.99,NC-17,['Behind the Scenes'],'dog':16 'duck':1 'lacklustur':4 'must':13 'overcom':14 'racer':2 'shark':19 'squirrel':11 'tank':20 'teacher':8 'yarn':5,Animation,20.950000000000003,English             ,"Woody Hoffman, Penelope Cronyn"
244,260,Dude Blindness,A Stunning Reflection of a Husband And a Lumberjack who must Face a Frisbee in An Abandoned Fun House,2006,1,3,4.99,132,9.99,G,"['Trailers', 'Deleted Scenes']",'abandon':19 'blind':2 'dude':1 'face':14 'frisbe':16 'fun':20 'hous':21 'husband':8 'lumberjack':11 'must':13 'reflect':5 'stun':4,Sports,90.87,English             ,"Sandra Peck, Val Bolger, Groucho Sinatra, Ralph Cruz, Scarlett Damon, Scarlett Bening, Angela Witherspoon"
245,261,Duffel Apocalypse,A Emotional Display of a Boat And a Explorer who must Challenge a Madman in A MySQL Convention,2006,1,5,0.99,171,13.99,G,['Commentaries'],'apocalyps':2 'boat':8 'challeng':14 'convent':20 'display':5 'duffel':1 'emot':4 'explor':11 'madman':16 'must':13 'mysql':19,Documentary,5.9399999999999995,English             ,"Cary Mcconaughey, Groucho Sinatra, Ewan Gooding"
246,262,Dumbo Lust,A Touching Display of a Feminist And a Dentist who must Conquer a Husband in The Gulf of Mexico,2006,1,5,0.99,119,17.99,NC-17,['Behind the Scenes'],'conquer':14 'dentist':11 'display':5 'dumbo':1 'feminist':8 'gulf':19 'husband':16 'lust':2 'mexico':21 'must':13 'touch':4,Family,13.940000000000001,English             ,"Sandra Peck, Henry Berry, Mae Hoffman, Ralph Cruz, Sean Guiness, Ed Mansfield, Ewan Gooding, Fay Wood, Mary Keitel"
247,263,Durham Panky,A Brilliant Panorama of a Girl And a Boy who must Face a Mad Scientist in An Abandoned Mine Shaft,2006,1,6,4.99,154,14.99,R,"['Trailers', 'Commentaries']",'abandon':20 'boy':11 'brilliant':4 'durham':1 'face':14 'girl':8 'mad':16 'mine':21 'must':13 'panki':2 'panorama':5 'scientist':17 'shaft':22,Sports,132.76,English             ,"Matthew Johansson, Woody Hoffman, Milla Keitel, Ben Willis, Susan Davis, Scarlett Bening, Frances Tomei, Morgan Williams, Fay Wood"
248,264,Dwarfs Alter,A Emotional Yarn of a Girl And a Dog who must Challenge a Composer in Ancient Japan,2006,1,6,2.99,101,13.99,G,"['Commentaries', 'Deleted Scenes']",'alter':2 'ancient':18 'challeng':14 'compos':16 'dog':11 'dwarf':1 'emot':4 'girl':8 'japan':19 'must':13 'yarn':5,Games,28.92,English             ,Mary Keitel
249,266,Dynamite Tarzan,A Intrepid Documentary of a Forensic Psychologist And a Mad Scientist who must Face a Explorer in A U-Boat,2006,1,4,0.99,141,27.99,PG-13,['Deleted Scenes'],'boat':23 'documentari':5 'dynamit':1 'explor':18 'face':16 'forens':8 'intrepid':4 'mad':12 'must':15 'psychologist':9 'scientist':13 'tarzan':2 'u':22 'u-boat':21,Classics,60.77,English             ,"Bob Fawcett, Charlize Dench, Julianne Dench, Ewan Gooding, Cuba Birch"
250,267,Eagles Panky,A Thoughtful Story of a Car And a Boy who must Find a A Shark in The Sahara Desert,2006,1,4,4.99,140,14.99,NC-17,"['Trailers', 'Commentaries', 'Behind the Scenes']",'boy':11 'car':8 'desert':21 'eagl':1 'find':14 'must':13 'panki':2 'sahara':20 'shark':17 'stori':5 'thought':4,New,134.81,English             ,"Fred Costner, Frances Day-Lewis, Jude Cruise, Mae Hoffman, Scarlett Damon, Chris Depp"
251,268,Early Home,A Amazing Panorama of a Mad Scientist And a Husband who must Meet a Woman in The Outback,2006,1,6,4.99,96,27.99,NC-17,"['Trailers', 'Commentaries', 'Behind the Scenes']",'amaz':4 'earli':1 'home':2 'husband':12 'mad':8 'meet':15 'must':14 'outback':20 'panorama':5 'scientist':9 'woman':17,Animation,36.94,English             ,"Dan Torn, Mena Temple, Scarlett Damon, Ben Willis, Walter Torn, Morgan Williams"
252,269,Earring Instinct,A Stunning Character Study of a Dentist And a Mad Cow who must Find a Teacher in Nigeria,2006,1,3,0.99,98,22.99,R,['Behind the Scenes'],'charact':5 'cow':13 'dentist':9 'earring':1 'find':16 'instinct':2 'mad':12 'must':15 'nigeria':20 'studi':6 'stun':4 'teacher':18,Family,60.830000000000005,English             ,"Fred Costner, Lucille Tracy, Mae Hoffman, Rita Reynolds, Harvey Hope"
253,270,Earth Vision,A Stunning Drama of a Butler And a Madman who must Outrace a Womanizer in Ancient India,2006,1,7,0.99,85,29.99,NC-17,"['Trailers', 'Commentaries', 'Deleted Scenes']",'ancient':18 'butler':8 'drama':5 'earth':1 'india':19 'madman':11 'must':13 'outrac':14 'stun':4 'vision':2 'woman':16,New,34.77,English             ,"Kenneth Torn, Richard Penn, Jayne Nolte"
254,271,Easy Gladiator,A Fateful Story of a Monkey And a Girl who must Overcome a Pastry Chef in Ancient India,2006,1,5,4.99,148,12.99,G,"['Trailers', 'Commentaries', 'Behind the Scenes']",'ancient':19 'chef':17 'easi':1 'fate':4 'girl':11 'gladiat':2 'india':20 'monkey':8 'must':13 'overcom':14 'pastri':16 'stori':5,Action,132.8,English             ,"Fred Costner, Matthew Leigh, Ed Mansfield"
255,272,Edge Kissing,A Beautiful Yarn of a Composer And a Mad Cow who must Redeem a Mad Scientist in A Jet Boat,2006,1,5,4.99,153,9.99,NC-17,['Deleted Scenes'],"'beauti':4 'boat':22 'compos':8 'cow':12 'edg':1 'jet':21 'kiss':2 'mad':11,17 'must':14 'redeem':15 'scientist':18 'yarn':5",Drama,79.87,English             ,"Jayne Neeson, Angela Witherspoon, Cuba Birch"
256,273,Effect Gladiator,A Beautiful Display of a Pastry Chef And a Pastry Chef who must Outgun a Forensic Psychologist in A Manhattan Penthouse,2006,1,6,0.99,107,14.99,PG,['Commentaries'],"'beauti':4 'chef':9,13 'display':5 'effect':1 'forens':18 'gladiat':2 'manhattan':22 'must':15 'outgun':16 'pastri':8,12 'penthous':23 'psychologist':19",Family,40.79,English             ,"Julia Mcqueen, Alec Wayne, Nick Stallone, Julia Barrymore, Renee Tracy, Olympia Pfeiffer, Lisa Monroe"
257,274,Egg Igby,A Beautiful Documentary of a Boat And a Sumo Wrestler who must Succumb a Database Administrator in The First Manned Space Station,2006,1,4,2.99,67,20.99,PG,"['Commentaries', 'Behind the Scenes']",'administr':18 'beauti':4 'boat':8 'databas':17 'documentari':5 'egg':1 'first':21 'igbi':2 'man':22 'must':14 'space':23 'station':24 'succumb':15 'sumo':11 'wrestler':12,Documentary,98.81,English             ,"Lucille Tracy, Tom Mckellen, Natalie Hopkins, Meryl Gibson, Oprah Kilmer"
258,275,Egypt Tenenbaums,A Intrepid Story of a Madman And a Secret Agent who must Outrace a Astronaut in An Abandoned Amusement Park,2006,1,3,0.99,85,11.99,PG,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",'abandon':20 'agent':12 'amus':21 'astronaut':17 'egypt':1 'intrepid':4 'madman':8 'must':14 'outrac':15 'park':22 'secret':11 'stori':5 'tenenbaum':2,Horror,66.84,English             ,"Cuba Olivier, Gary Penn, Kenneth Torn, Susan Davis, Chris Depp"
259,276,Element Freddy,A Awe-Inspiring Reflection of a Waitress And a Squirrel who must Kill a Mad Cow in A Jet Boat,2006,1,6,4.99,115,28.99,NC-17,"['Commentaries', 'Behind the Scenes']",'awe':5 'awe-inspir':4 'boat':23 'cow':19 'element':1 'freddi':2 'inspir':6 'jet':22 'kill':16 'mad':18 'must':15 'reflect':7 'squirrel':13 'waitress':10,Comedy,56.900000000000006,English             ,"Kirk Jovovich, Angela Hudson, Meryl Gibson, Bela Walken"
260,277,Elephant Trojan,A Beautiful Panorama of a Lumberjack And a Forensic Psychologist who must Overcome a Frisbee in A Baloon,2006,1,4,4.99,126,24.99,PG-13,['Behind the Scenes'],'baloon':20 'beauti':4 'eleph':1 'forens':11 'frisbe':17 'lumberjack':8 'must':14 'overcom':15 'panorama':5 'psychologist':12 'trojan':2,Horror,64.9,English             ,"Penelope Guiness, Cameron Streep, Val Bolger, Gina Degeneres, Harrison Bale"
261,278,Elf Murder,A Action-Packed Story of a Frisbee And a Woman who must Reach a Girl in An Abandoned Mine Shaft,2006,1,4,4.99,155,19.99,NC-17,"['Trailers', 'Commentaries', 'Behind the Scenes']",'abandon':21 'action':5 'action-pack':4 'elf':1 'frisbe':10 'girl':18 'mine':22 'murder':2 'must':15 'pack':6 'reach':16 'shaft':23 'stori':7 'woman':13,Music,34.94,English             ,"Cameron Wray, Warren Nolte, Gene Hopkins, Albert Johansson, Audrey Bailey"
262,279,Elizabeth Shane,A Lacklusture Display of a Womanizer And a Dog who must Face a Sumo Wrestler in Ancient Japan,2006,1,7,4.99,152,11.99,NC-17,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",'ancient':19 'display':5 'dog':11 'elizabeth':1 'face':14 'japan':20 'lacklustur':4 'must':13 'shane':2 'sumo':16 'woman':8 'wrestler':17,Sports,36.93,English             ,"Dan Torn, Ben Willis, Oprah Kilmer"
263,280,Empire Malkovich,A Amazing Story of a Feminist And a Cat who must Face a Car in An Abandoned Fun House,2006,1,7,0.99,177,26.99,G,['Deleted Scenes'],'abandon':19 'amaz':4 'car':16 'cat':11 'empir':1 'face':14 'feminist':8 'fun':20 'hous':21 'malkovich':2 'must':13 'stori':5,Children,26.810000000000002,English             ,"Cuba Olivier, Fred Costner, Helen Voight, Dan Torn, Ray Johansson, Ralph Cruz, Ellen Presley, Sidney Crowe, Richard Penn"
264,281,Encino Elf,A Astounding Drama of a Feminist And a Teacher who must Confront a Husband in A Baloon,2006,1,6,0.99,143,9.99,G,"['Trailers', 'Behind the Scenes']",'astound':4 'baloon':19 'confront':14 'drama':5 'elf':2 'encino':1 'feminist':8 'husband':16 'must':13 'teacher':11,Games,27.810000000000002,English             ,"Zero Cage, Kirsten Paltrow, Ben Willis, James Pitt, Sylvester Dern, Harvey Hope"
265,282,Encounters Curtain,A Insightful Epistle of a Pastry Chef And a Womanizer who must Build a Boat in New Orleans,2006,1,5,0.99,92,20.99,NC-17,['Trailers'],'boat':17 'build':15 'chef':9 'curtain':2 'encount':1 'epistl':5 'insight':4 'must':14 'new':19 'orlean':20 'pastri':8 'woman':12,Drama,38.82,English             ,"Alec Wayne, Anne Cronyn, Ewan Gooding, Meryl Gibson"
266,283,Ending Crowds,A Unbelieveable Display of a Dentist And a Madman who must Vanquish a Squirrel in Berlin,2006,1,6,0.99,85,10.99,NC-17,"['Commentaries', 'Behind the Scenes']",'berlin':18 'crowd':2 'dentist':8 'display':5 'end':1 'madman':11 'must':13 'squirrel':16 'unbeliev':4 'vanquish':14,New,17.9,English             ,"Zero Cage, Burt Dukakis, Mary Tandy, Sidney Crowe, Christopher West"
267,284,Enemy Odds,A Fanciful Panorama of a Mad Scientist And a Woman who must Pursue a Astronaut in Ancient India,2006,1,5,4.99,77,23.99,NC-17,['Trailers'],'ancient':19 'astronaut':17 'enemi':1 'fanci':4 'india':20 'mad':8 'must':14 'odd':2 'panorama':5 'pursu':15 'scientist':9 'woman':12,Music,159.75,English             ,"Vivien Bergen, Liza Bergman, Ewan Gooding, Bela Walken"
268,285,English Bulworth,A Intrepid Epistle of a Pastry Chef And a Pastry Chef who must Pursue a Crocodile in Ancient China,2006,1,3,0.99,51,18.99,PG-13,['Deleted Scenes'],"'ancient':20 'bulworth':2 'chef':9,13 'china':21 'crocodil':18 'english':1 'epistl':5 'intrepid':4 'must':15 'pastri':8,12 'pursu':16",Sci-Fi,99.74000000000001,English             ,"Mena Temple, Penelope Pinkett, Matthew Leigh, Jayne Nolte, Fay Wood"
